"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Damian Lillard","Milwaukee Bucks","Vet",36.3,98,28.7,6.9,4.2,0.8,0.4,1,3.5,19.4,9.9,9.7,5.2,2.4,2023-11-02
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",35.7,100,27.7,4.7,3.9,0.9,0.9,1.6,2.8,18.9,9.7,2,6.6,3.2,2023-11-02
"Luka Doncic","Dallas Mavericks","Vet",35,97.6,27,6.7,7.6,0.8,0.5,1.3,3.9,20.1,10.2,7.9,4,2.7,2023-11-02
"Trae Young","Atlanta Hawks","Vet",35.4,100.8,26.1,10.2,2.6,0.8,0.3,1.2,4.5,20.3,8.5,6.4,3.9,2,2023-11-02
"Devin Booker","Phoenix Suns","Vet",35.6,98.9,25.5,5.3,3.5,0.9,0.5,1.1,3.2,18.3,6.3,4.8,3.4,3.3,2023-11-02
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",31.9,101.1,25.4,5.5,9.4,2.4,0.9,0.9,4.1,18.3,10.9,1.5,8.2,3.3,2023-11-02
"Donovan Mitchell","Cleveland Cavaliers","Vet",35.9,96.6,25.3,4.3,3.7,0.8,0.5,1.5,2.9,19.1,5.1,7.6,4.3,2.8,2023-11-02
"Brandon Ingram","New Orleans Pelicans","Vet",34.9,97,24.8,5.5,4.9,0.8,0.5,0.8,3.7,18.5,6.9,2.7,3.9,2.8,2023-11-02
"Jayson Tatum","Boston Celtics","Vet",36,98,24.6,4.5,7.6,1.3,0.8,1.1,3,18.1,7.5,6.8,4.9,2.5,2023-11-02
"Mikal Bridges","Brooklyn Nets","Vet",38.9,96.5,24.4,3.5,4.1,0.9,0.7,1.3,2.4,22.2,6.7,7.1,3.7,2.2,2023-11-02
"Lauri Markkanen","Utah Jazz","Vet",33.6,99.6,24.2,1.7,6.3,1.8,0.5,0.8,2,18.3,6.5,7.8,4.7,2.6,2023-11-02
"Stephen Curry","Golden State Warriors","Vet",32.9,101.1,23.9,5.3,4.2,0.7,0.4,1.1,3.2,19.3,4.8,9.6,2.7,2.3,2023-11-02
"Nikola Jokic","Denver Nuggets","Vet",33.7,98.9,23.8,8,9.8,2.8,0.9,1.2,3.9,16.8,5.9,2.8,4.4,3.1,2023-11-02
"Jalen Brunson","New York Knicks","Vet",34.3,97,23.8,5,3.1,0.6,0.2,1,2.1,18,5.9,5.7,2.9,2.4,2023-11-02
"Zion Williamson","New Orleans Pelicans","Vet",33.1,99.1,23.8,4.7,5.4,2.1,0.6,1,3.1,17.3,8.2,0.9,7.8,2.9,2023-11-02
"Zach LaVine","Chicago Bulls","Vet",35.5,96.7,23.7,3.9,3.6,0.5,0.3,0.9,3,18.2,6.1,6,5.8,2.3,2023-11-02
"Joel Embiid","Philadelphia 76ers","Vet",34.2,96.1,23.5,3.4,8.1,1.9,2,1,3.2,18.1,10,2.5,5.2,3.4,2023-11-02
"Jimmy Butler","Miami Heat","Vet",35.8,97.3,23.5,5.3,4,2,0.5,1.9,2.1,16.7,9.5,2.5,5.1,1.8,2023-11-02
"Kevin Durant","Phoenix Suns","Vet",34.3,99,23.2,4.2,6.4,0.6,1.2,0.8,3.1,16.7,6.6,4,1.8,2.3,2023-11-02
"LeBron James","Los Angeles Lakers","Vet",35.3,99.1,23,6,7.1,1.2,0.8,1.1,3.2,17.4,5.1,5.6,6,2,2023-11-02
"Anthony Edwards","Minnesota Timberwolves","Vet",35.2,98.8,23,4.1,4.9,0.7,1.1,1.5,3.1,19,5.4,6.9,5.6,2.5,2023-11-02
"Anthony Davis","Los Angeles Lakers","Vet",36.2,98.8,22.3,2.7,9.8,3.2,2.4,1.3,2.4,16.1,7.4,0.6,6.4,3,2023-11-02
"Kyrie Irving","Dallas Mavericks","Vet",33.4,96.8,22.1,4.4,3.5,0.9,0.6,1.2,2.1,17.1,4.4,6.1,3.4,2.8,2023-11-02
"Jaylen Brown","Boston Celtics","Vet",34.9,98.5,21.7,3.1,4.8,1.2,0.4,1.2,2.9,17.7,4.4,5.6,5.1,2.9,2023-11-02
"Desmond Bane","Memphis Grizzlies","Vet",34.9,99.3,21.6,3.7,4.3,0.9,0.4,1.2,2.4,16.8,3.8,6.7,4.6,2.9,2023-11-02
"Paul George","Los Angeles Clippers","Vet",34.1,97.5,21.2,4.6,5.1,0.9,0.4,1.6,3,17.1,5.5,6.8,3.3,3.4,2023-11-02
"LaMelo Ball","Charlotte Hornets","Vet",35.3,100.8,21.1,7.8,5.3,1.3,0.4,1.5,3.8,18.5,3.8,8.5,3.8,3.6,2023-11-02
"Kristaps Porzingis","Boston Celtics","Vet",31.5,98.1,20.5,2.5,6.5,1.6,1.5,0.9,2,15.4,6,5.2,2.6,3.5,2023-11-02
"Jamal Murray","Denver Nuggets","Vet",34.5,97.6,20.5,6.2,3.8,0.8,0.3,1.2,2.6,16.2,3.7,5.9,2.8,2.1,2023-11-02
"Pascal Siakam","Toronto Raptors","Vet",34.1,97.1,20.5,4.5,5.7,1.6,0.5,1,2.3,16.5,6.2,3.2,4,3.3,2023-11-02
"Jaren Jackson Jr.","Memphis Grizzlies","Vet",33.4,99.4,20.1,1.2,5.4,2.3,2.6,1.2,2.9,14.9,6.2,4.3,4.9,4.1,2023-11-02
"DeMar DeRozan","Chicago Bulls","Vet",33.2,96.5,20.1,4.6,3.7,0.5,0.4,1,2.2,15.7,6.2,2,2.9,2.5,2023-11-02
"Jalen Green","Houston Rockets","Sophomore",33.4,99.4,19.8,3.3,2.8,0.6,0.3,0.8,2.6,16.4,6.3,5.9,4.5,2.2,2023-11-02
"Keldon Johnson","San Antonio Spurs","Vet",32.1,100.1,19.7,2.6,4.2,1,0.2,0.8,2.1,16.9,4.9,5.4,5.5,2.4,2023-11-02
