PLAYER,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$
"Nikola Jokic
DenC",1,,33.7,0.604,0.825,25.6,1.1,12.3,9,1.3,0.7,3.6,9.8,16.2,4.9,6,$80
"Giannis AntetokounmpoDTD
MilPF",2,,34.4,0.555,0.674,32.1,0.9,12.3,6.1,1,1.1,3.8,11.4,20.6,8.3,12.3,$65
"Luka Doncic
DalPG",3,,35.7,0.482,0.741,30.5,2.9,8.7,8.3,1.2,0.5,4,10.4,21.6,6.7,9.1,$70
"Jayson Tatum
BosSF",4,,36.8,0.467,0.861,32,3.5,8.4,5,1.1,0.7,2.9,10.7,22.9,7.1,8.3,$73
"Joel Embiid
PhiC",5,,34.8,0.529,0.844,32.5,1.2,11,4.1,1.1,1.6,3.4,10.6,20.1,10,11.9,$74
"Shai Gilgeous-Alexander
OKCSG",6,,35.1,0.503,0.879,29.9,1.2,4.9,5.6,1.5,0.9,2.8,10.1,20,8.5,9.7,$71
"Tyrese Haliburton
IndPG",7,,35.7,0.482,0.86,18.7,2.6,3.9,9.4,1.7,0.6,2.6,6.8,14,2.6,3,$72
"Domantas SabonisDTD
SacPF",8,,34.8,0.592,0.739,19.3,0.5,12.2,6.7,0.9,0.5,3,7.3,12.4,4.1,5.5,$57
"Anthony Edwards
MinSG",9,,36.3,0.463,0.778,29.1,3.5,5.5,4.2,1.5,0.7,3.1,10.2,22,5.2,6.7,$51
"Devin Booker
PhxSG",10,,34.4,0.482,0.861,27,2.3,4.6,7.8,1,0.3,2.7,9.7,20.2,5.3,6.1,$55
"Trae Young
AtlPG",11,,34.9,0.428,0.887,26.3,2.2,3.1,10.1,1.1,0.1,4.1,8.2,19.2,7.6,8.6,$61
"Stephen Curry
GSPG",12,,34.1,0.474,0.918,27.9,5,5.2,5.7,1.1,0.3,3.2,9.2,19.5,4.4,4.8,$67
"Donovan Mitchell
CleSG",13,,35.2,0.468,0.859,27.6,3.6,4.3,4.8,1.4,0.3,2.8,9.7,20.8,4.6,5.3,$52
"LaMelo BallDTD
ChaPG",14,,35.4,0.422,0.857,22.4,3.4,7,8.4,1.6,0.4,3.6,8,18.9,3,3.5,$63
"LeBron James
LALSF",15,,35.8,0.509,0.756,28.9,2.4,8.2,6.8,1.1,0.7,3.4,11,21.6,4.5,5.9,$34
"Dejounte Murray
AtlPG",16,,36.2,0.463,0.854,20.9,2.1,5.6,6.3,1.6,0.3,2.2,8.2,17.8,2.3,2.7,$42
"Lauri Markkanen
UtahPF",17,,34.8,0.492,0.877,28,3.5,7.9,1.7,0.7,0.6,1.6,9.4,19,5.8,6.6,$38
"Jalen Brunson
NYPG",18,,35.6,0.502,0.843,24,2.3,4,6.5,0.9,0.1,2,8.7,17.3,4.4,5.2,$32
"Damian Lillard
PorPG",19,,33.4,0.451,0.913,27.8,3.7,4.2,6.8,0.8,0.3,2.9,8.4,18.7,7.2,7.9,$64
"Jordan Poole
WshSG",20,,35.6,0.462,0.889,28.6,4.1,3.5,5,0.9,0.3,3.3,9.4,20.4,5.7,6.4,$24
De'Aaron Fox (SAC - PG),21,,35.2,0.497,0.764,25.3,1.6,4.2,6.3,1.2,0.4,2.7,9.4,19,4.8,6.3,$18
"Pascal Siakam
TorPF",22,,37.3,0.481,0.773,23.4,1.2,8,5.5,1,0.6,2.5,8.7,18.1,4.8,6.2,$24
"Kevin Durant
PhxSF",23,,35.9,0.542,0.912,25.7,1.8,7,5.5,0.8,1.3,3.4,9.1,16.8,5.7,6.3,$53
"DeMar DeRozan
ChiSF",24,,35.9,0.503,0.874,25.2,0.6,4.7,5.3,1,0.4,2.1,9.1,18.1,6.4,7.3,$31
"Anthony Davis
LALPF",25,,34.1,0.548,0.766,24.7,0.4,11.3,2.8,1.1,2,2.1,9.4,17.2,5.5,7.2,$47
"Nikola Vucevic
ChiC",26,,33.4,0.5,0.818,18.4,1.6,11.1,3.3,0.8,0.8,1.8,7.6,15.3,1.6,1.9,$19
"Zion WilliamsonDTD
NOPF",27,,34.2,0.619,0.733,29.8,0.4,8.4,4.3,1.2,0.8,3.3,11.2,18.1,7,9.5,$7
"Kyrie Irving
DalPG",28,,35.4,0.491,0.911,26,3,4.7,5.4,1.2,0.7,2.1,9.5,19.4,3.9,4.3,$60
"Bam Adebayo
MiaC",29,,34.6,0.548,0.792,20.2,0,9.5,3.6,1.3,0.9,2.6,7.8,14.3,4.5,5.7,$30
"Paolo BancheroDTD
OrlPF",30,,35.1,0.443,0.75,24.6,1.7,8.1,4.5,1,0.8,2.9,8.1,18.4,6.7,8.9,$7
"Mikal Bridges
BknSF",31,,35.5,0.491,0.897,21.3,2,5.3,3.1,1.1,0.7,1.4,7.7,15.6,4,4.5,$54
"Jaylen Brown
BosSG",32,,35.9,0.485,0.762,26.1,2.6,6.7,3.5,1.1,0.4,2.9,9.8,20.3,3.8,5,$22
"Darius Garland
ClePG",33,,35.6,0.461,0.869,21.3,2.4,2.9,7.9,1.3,0.1,3.2,7.7,16.6,3.6,4.1,$27
"Julius RandleDTD
NYPF",34,,35.8,0.446,0.765,23.5,2.4,10,4.7,0.7,0.3,3.1,8.1,18.2,4.9,6.4,$15
"Victor Wembanyama
SAC",35,,32.7,0.489,0.779,19.9,0.9,9.5,2.5,0.7,2.4,2.5,7.4,15.1,4.2,5.4,$17
"Jaren Jackson Jr.DTD
MemPF",36,,32.6,0.468,0.8,20.6,1.9,7.4,1.2,1.2,3.1,2,7.2,15.3,4.4,5.5,$18
"Brandon IngramDTD
NOSF",37,,34.7,0.473,0.863,26,1.8,5.6,5.7,0.7,0.5,3,9.3,19.6,5.6,6.5,$14
"Karl-Anthony Towns
MinC",38,,33.3,0.51,0.843,21.8,1.9,9.3,4.2,0.8,0.9,3,7.7,15.1,4.5,5.3,$40
"Jimmy Butler
MiaSF",39,,33.5,0.517,0.857,22.3,0.5,6,5.6,1.8,0.4,1.8,7.3,14.1,7.2,8.4,$44
"James Harden
PhiSG",40,,34.2,0.433,0.87,20.1,2.4,6.3,9.8,1.1,0.5,3.5,6,13.9,5.7,6.5,$50
"Spencer Dinwiddie
BknSG",41,,36.7,0.436,0.81,18.3,2.4,3.8,7.8,0.9,0.3,1.9,6.1,14.1,3.6,4.5,$1
"Jrue Holiday
MilPG",42,,32.6,0.489,0.824,18.8,2.2,4.8,7,1.4,0.4,2.8,7.2,14.8,2.1,2.6,$25
"Josh Giddey
OKCPG",43,,34.3,0.476,0.73,17.7,1.1,8.6,6.8,0.8,0.4,3.1,7.6,15.9,1.5,2,$12
"Desmond Bane
MemSG",44,,34,0.472,0.886,21.2,3.2,5.2,3.9,1.1,0.4,2,7.7,16.3,2.7,3,$48
"Jamal Murray
DenPG",45,,34.7,0.457,0.836,21.1,2.8,4.2,6.3,1.1,0.3,2.3,7.7,16.8,2.9,3.5,$20
"Tyrese Maxey
PhiSG",46,,35.2,0.481,0.854,23.4,2.8,3.2,4,0.8,0.3,1.3,8.3,17.2,4,4.7,$15
"Paul GeorgeDTD
LACSF",47,,33.7,0.451,0.866,23.3,2.8,6.2,5.1,1.5,0.4,3.3,8.1,17.9,4.3,4.9,$31
"Scottie Barnes
TorPF",48,,34.9,0.461,0.766,17.1,0.9,7.3,5.2,1.1,0.8,2,6.5,14.2,3.1,4,$12
"Cade Cunningham
DetPG",49,,35.7,0.435,0.848,21.4,2.2,6.3,6.2,1.3,0.7,4,8.1,18.7,3,3.5,$26
"Kyle Kuzma
WshPF",50,,35.2,0.475,0.728,24.6,3.2,7.8,3.5,0.6,0.6,2.8,9.1,19.1,3.3,4.5,$3
"Fred VanVleet
HouPG",51,,32.9,0.394,0.892,17.4,2.9,3.7,6.1,1.6,0.5,1.9,5.8,14.6,3,3.4,$33
