"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Luka Doncic","Dallas Mavericks","Vet",37.5,98.3,29.8,8,8,0.7,0.5,1.5,3.7,22.7,7.3,9.5,3,2.4,2024-11-12
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",34.8,98,28.4,6.1,9.5,2.7,1,1,3.6,20.3,9.5,1.2,9.6,3.1,2024-11-12
"Nikola Jokic","Denver Nuggets","Vet",37.7,98.6,28.3,9.3,10.1,3.5,0.9,1.5,3.9,19.3,6.3,3.9,6,2.5,2024-11-12
"Jayson Tatum","Boston Celtics","Vet",36.7,97.5,27.9,5.5,7.4,0.8,0.6,1.2,2.8,19.7,7.1,10.3,4.3,2.2,2024-11-12
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",33.5,99.8,27.5,5.9,4.7,0.8,0.9,1.5,2.5,19.4,7.6,4.4,5.5,2.2,2024-11-12
"Anthony Edwards","Minnesota Timberwolves","Vet",36.4,97.1,27.3,4.9,5.1,0.7,0.5,1.3,2.9,19.7,5.2,10.1,4.4,2,2024-11-12
"Jalen Brunson","New York Knicks","Vet",35.5,95.8,26.4,7,2.8,0.5,0.1,0.9,2.4,20.6,6.7,5.7,3.9,1.9,2024-11-12
"Anthony Davis","Los Angeles Lakers","Vet",34.5,99.2,26,2.9,8.8,2.8,2.1,1.2,2.3,17.2,7.8,1.8,7.1,2.1,2024-11-12
"De'Aaron Fox","Sacramento Kings","Vet",36.3,98.6,24.8,5.4,4,0.8,0.3,1.8,2.6,19.5,5.1,7,2.9,2.5,2024-11-12
"LaMelo Ball","Charlotte Hornets","Vet",32.3,99.1,24.6,6.6,3.7,0.9,0.3,1.5,3.4,19.1,4.3,10.1,3.8,3.1,2024-11-12
"Cam Thomas","Brooklyn Nets","Vet",34.6,95.2,24.6,3.4,2.9,0.4,0.2,0.8,2.4,18.4,5.9,7.2,3.4,2.2,2024-11-12
"Damian Lillard","Milwaukee Bucks","Vet",35.1,97.9,24.1,6.6,3.5,0.5,0.2,1,2.7,17,6.9,8.5,3.4,1.9,2024-11-12
"Kyrie Irving","Dallas Mavericks","Vet",36.6,97.7,24,4.9,3.5,0.9,0.4,1.3,2,17.9,3.5,6.2,3,2.1,2024-11-12
"Donovan Mitchell","Cleveland Cavaliers","Vet",32.6,98.3,23.8,4.5,3.3,0.6,0.4,1.5,2.3,17.9,4.8,8,3.5,2.2,2024-11-12
"DeMar DeRozan","Sacramento Kings","Vet",37.2,97.2,23.7,4.4,3.5,0.5,0.4,1.2,1.8,17.8,6.6,2.7,2.7,1.8,2024-11-12
"Jaylen Brown","Boston Celtics","Vet",35.3,98.1,23.4,3.6,4.7,1.2,0.5,1.2,2.8,18.2,5.3,6.4,5.1,2.6,2024-11-12
"Devin Booker","Phoenix Suns","Vet",36.4,98.7,23.3,6.7,3,0.8,0.4,1,2.6,17.2,6,7.2,2.8,2.7,2024-11-12
"LeBron James","Los Angeles Lakers","Vet",35.2,99.3,23,9.1,6.7,0.8,0.6,1.2,3.3,16.4,4.8,5.1,6.5,1.3,2024-11-12
"Stephen Curry","Golden State Warriors","Vet",30.9,100.7,22.3,5.7,3.8,0.5,0.3,0.9,2.8,16.7,3.7,10.2,2.2,1.7,2024-11-12
"Cade Cunningham","Detroit Pistons","Vet",34.2,97.7,22.1,8.1,4.9,0.8,0.5,0.9,3.6,18.1,4.1,5.2,4.5,2.5,2024-11-12
"Karl-Anthony Towns","New York Knicks","Vet",32.7,95.9,21.7,2.6,7.4,2.3,0.7,0.7,2.4,15.7,5.1,5.2,5.1,3.1,2024-11-12
"Brandon Ingram","New Orleans Pelicans","Vet",33.6,95.6,21.6,5.4,4.6,0.7,0.6,0.8,2.8,17.6,4.1,5.6,2.4,2.3,2024-11-12
"Trae Young","Atlanta Hawks","Vet",34.3,101.9,21.5,10.6,2.5,0.6,0.2,1.1,4.1,16.5,6,8.5,2.3,1.8,2024-11-12
"Jaren Jackson Jr.","Memphis Grizzlies","Vet",29.9,101.8,21.4,2.1,4.3,1.2,1.4,1.2,2.1,15.8,5.4,5.5,3.7,3.2,2024-11-12
"Norman Powell","Los Angeles Clippers","Vet",34.5,95.9,21.4,2.1,2.9,0.4,0.3,0.9,1.8,15.2,3.7,7.7,2.8,2.1,2024-11-12
"Joel Embiid","Philadelphia 76ers","Vet",26.4,97.6,21.2,3.8,6.2,1.7,1.2,0.9,2.8,16,7.7,4.1,3.4,2.9,2024-11-12
"RJ Barrett","Toronto Raptors","Vet",32,100.3,20.7,4.6,4.6,0.8,0.3,0.7,3,16.5,5.3,5.2,6.2,2.4,2024-11-12
"Victor Wembanyama","San Antonio Spurs","Sophomore",31.8,98.5,20.3,3.6,8.7,2.1,3.4,1.3,3,16.2,4.4,7.3,4.6,2.2,2024-11-12
"Jalen Green","Houston Rockets","Vet",32.3,96.5,20.3,3.2,4.3,0.5,0.3,0.8,2.1,16.7,3.9,8.1,3.8,1.7,2024-11-12
"James Harden","Los Angeles Clippers","Vet",34.6,95.3,20.2,8.4,5.4,0.6,0.7,1.2,3.6,14.7,6,7.4,2.2,2,2024-11-12
"Jalen Williams","Oklahoma City Thunder","Vet",32.9,100.8,20.2,5,4.3,0.8,0.7,1.5,2.1,15.8,2.9,4.3,4.2,2.4,2024-11-12
"Pascal Siakam","Indiana Pacers","Vet",33.3,98.8,20.1,3.9,5.1,1.9,0.4,0.9,1.6,15.2,3.5,4.1,4.4,2.6,2024-11-12
"Jordan Poole","Washington Wizards","Vet",31.1,101.1,20.1,4.8,2.3,0.4,0.4,1.1,2.8,16.4,3.6,8.4,3.2,2.9,2024-11-12
"Jamal Murray","Denver Nuggets","Vet",35,96.3,20,5.2,3.5,0.7,0.4,1.1,2.2,17,3.2,6.1,3.3,1.8,2024-11-12
"Tyler Herro","Miami Heat","Vet",32.8,97.3,19.9,5.3,4.4,0.3,0.2,0.7,2.6,15.6,2.7,8.3,2.1,1.7,2024-11-12
"Julius Randle","Minnesota Timberwolves","Vet",32.1,96.4,19.4,4.2,5.3,2,0.3,0.6,2.7,14,4.7,4.7,4.7,2.4,2024-11-12
"Franz Wagner","Orlando Magic","Vet",30.6,97.2,19.2,4.2,3.9,1,0.4,1,2.3,15.2,4.6,4.6,5.7,2.2,2024-11-12
"Coby White","Chicago Bulls","Vet",33.6,99.9,18.9,4.8,3.4,0.4,0.1,0.8,2.1,14.8,3.1,7.7,3.2,2.3,2024-11-12
