"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
203999,"Denver Nuggets","Nikola Jokic","Vet",6.83,1.24,4.75,2.07,3.54,3.69,-0.15,25.23,0.62,4.088,0.336,0.186,7.496,0.732,8,0.825,0.328,0.283,18.467,11.323,0.373,1.204,0.013,1.912,0.019,4.524
1628369,"Boston Celtics","Jayson Tatum","Vet",5.89,0.59,5.57,0.33,3.71,4.17,-0.46,26.864,0.531,10.871,0.363,0.38,6.699,0.704,9.472,0.834,0.349,0.296,10.959,6.847,0.216,0.82,0.009,1.526,0.015,3.73
203507,"Milwaukee Bucks","Giannis Antetokounmpo","Vet",5.88,-1.46,3.87,2.02,3.19,3.11,0.08,26.119,0.626,1.83,0.294,0.104,12.133,0.798,13.849,0.661,0.552,0.328,16.952,9.208,0.339,1.372,0.016,1.568,0.015,5.273
203954,"Philadelphia 76ers","Joel Embiid","Vet",5.8,-0.58,3.66,2.14,4.62,3.21,1.41,30.112,0.539,5.107,0.353,0.181,7.415,0.747,12.36,0.854,0.477,0.344,15.761,7.123,0.256,2.519,0.028,1.588,0.016,5.328
202695,"Los Angeles Clippers","Kawhi Leonard","Vet",5.6,0.61,4.33,1.27,6.34,4.65,1.69,26.337,0.539,7.741,0.386,0.247,5.515,0.722,6.997,0.862,0.265,0.293,9.01,5.58,0.197,1.164,0.013,2.321,0.023,3.077
1628378,"Cleveland Cavaliers","Donovan Mitchell","Vet",5.47,1.97,4.27,1.2,5.76,4.39,1.37,23.457,0.527,11.486,0.368,0.512,4.741,0.682,6.875,0.816,0.248,0.276,6.685,7.874,0.239,0.767,0.009,2.315,0.023,3.876
1641705,"San Antonio Spurs","Victor Wembanyama","Rookie",4.97,NA,2.59,2.38,6.7,3.34,3.36,27.248,0.538,10.33,0.329,0.392,8.513,0.696,9.425,0.796,0.355,0.346,17.449,7.728,0.269,4.525,0.052,1.98,0.02,5.671
1629029,"Dallas Mavericks","Luka Doncic","Vet",4.85,1.72,5.14,-0.29,4.05,4.5,-0.45,29.475,0.556,13.245,0.352,0.472,4.224,0.76,9.908,0.758,0.35,0.33,11.98,12.405,0.425,0.683,0.008,1.89,0.019,5.493
201142,"Phoenix Suns","Kevin Durant","Vet",4.67,-0.88,4.32,0.35,3.53,3.66,-0.13,24.486,0.576,7.867,0.397,0.312,3.349,0.767,6.598,0.874,0.279,0.276,9.055,6.521,0.207,1.513,0.017,1.227,0.012,3.829
202331,"Los Angeles Clippers","Paul George","Vet",4.57,0.15,3.15,1.42,4.3,2.57,1.73,24.429,0.511,11.19,0.386,0.463,3.855,0.661,6.429,0.883,0.25,0.27,7.866,5.277,0.164,0.683,0.008,2.223,0.024,3.206
1628983,"Oklahoma City Thunder","Shai Gilgeous-Alexander","Vet",4.26,2.69,4.1,0.16,3.73,3.62,0.11,26.984,0.53,5.139,0.356,0.199,7.08,0.686,12.27,0.848,0.451,0.319,7.35,7.596,0.259,1.219,0.014,2.596,0.026,3.443
2544,"Los Angeles Lakers","LeBron James","Vet",4.08,-0.98,3.53,0.56,1.62,2.98,-1.36,22.528,0.593,6.44,0.345,0.261,9.388,0.763,7.599,0.734,0.321,0.281,9.969,11.493,0.369,0.795,0.009,1.608,0.016,4.699
202681,"Dallas Mavericks","Kyrie Irving","Vet",3.9,0.07,4.12,-0.22,3.16,3.2,-0.04,25.535,0.55,9.802,0.4,0.372,4.192,0.676,5.165,0.909,0.189,0.273,6.657,6.581,0.211,0.645,0.007,1.734,0.017,2.68
